2020-08-13 10:29:24,004 INFO [root] [base.py (__init__:13] - [base]: 正在获取初始化driver对象：<selenium.webdriver.phantomjs.webdriver.WebDriver (session="c9a87d30-dd0c-11ea-b30d-f906b0501806")>)
2020-08-13 10:29:41,131 INFO [root] [base.py (base_find:18] - [base]: 正在定位：('xpath', ".//*[@id='top-links']/ul/li[2]/a/span[1]")元素，超时时间为：30秒)
2020-08-13 10:29:41,142 INFO [root] [base.py (base_click:38] - [base]: 正在对：('xpath', ".//*[@id='top-links']/ul/li[2]/a/span[1]")元素进行点击操作)
2020-08-13 10:29:41,185 INFO [root] [base.py (base_find:18] - [base]: 正在定位：('partial link text', '会员登录')元素，超时时间为：30秒)
2020-08-13 10:29:41,201 INFO [root] [base.py (base_click:38] - [base]: 正在对：('partial link text', '会员登录')元素进行点击操作)
2020-08-13 10:29:41,539 INFO [root] [base.py (base_find:18] - [base]: 正在定位：('css selector', '#input-email')元素，超时时间为：30秒)
2020-08-13 10:29:41,548 INFO [root] [base.py (base_input:46] - [base]: 正在对：('css selector', '#input-email')元素进行清空操作)
2020-08-13 10:29:41,567 INFO [root] [base.py (base_input:49] - [base]: 正在对：('css selector', '#input-email')元素进行输入操作，输入内容：18142651996@163.com)
2020-08-13 10:29:41,622 INFO [root] [base.py (base_find:18] - [base]: 正在定位：('css selector', '#input-password')元素，超时时间为：30秒)
2020-08-13 10:29:41,632 INFO [root] [base.py (base_input:46] - [base]: 正在对：('css selector', '#input-password')元素进行清空操作)
2020-08-13 10:29:41,648 INFO [root] [base.py (base_input:49] - [base]: 正在对：('css selector', '#input-password')元素进行输入操作，输入内容：aaa111)
2020-08-13 10:29:41,699 INFO [root] [base.py (base_find:18] - [base]: 正在定位：('xpath', ".//*[@id='content']/div/form/input")元素，超时时间为：30秒)
2020-08-13 10:29:41,709 INFO [root] [base.py (base_click:38] - [base]: 正在对：('xpath', ".//*[@id='content']/div/form/input")元素进行点击操作)
2020-08-13 10:29:42,280 INFO [root] [base.py (base_find:18] - [base]: 正在定位：('xpath', ".//*[@id='top-links']/ul/li[2]/a/span[1]")元素，超时时间为：30秒)
2020-08-13 10:29:42,286 INFO [root] [base.py (base_click:38] - [base]: 正在对：('xpath', ".//*[@id='top-links']/ul/li[2]/a/span[1]")元素进行点击操作)
2020-08-13 10:29:42,322 INFO [root] [base.py (base_find:18] - [base]: 正在定位：('partial link text', '注销退出')元素，超时时间为：30秒)
2020-08-13 10:29:42,337 INFO [root] [base.py (base_click:38] - [base]: 正在对：('partial link text', '注销退出')元素进行点击操作)
2020-08-13 10:29:42,699 INFO [root] [base.py (base_get_text:54] - [base]: 正在获取：('xpath', ".//*[@id='content']/div/div/div[2]/div[1]/p[1]")元素文本信息)
2020-08-13 10:29:42,699 INFO [root] [base.py (base_find:18] - [base]: 正在定位：('xpath', ".//*[@id='content']/div/div/div[2]/div[1]/p[1]")元素，超时时间为：30秒)
2020-08-13 10:29:42,725 INFO [root] [test_login_data.py (test_login:58] - 登录后退出登录用例执行成功)
2020-08-13 10:29:42,725 INFO [root] [base.py (base_find:18] - [base]: 正在定位：('xpath', ".//*[@id='top-links']/ul/li[2]/a/span[1]")元素，超时时间为：30秒)
2020-08-13 10:29:42,729 INFO [root] [base.py (base_click:38] - [base]: 正在对：('xpath', ".//*[@id='top-links']/ul/li[2]/a/span[1]")元素进行点击操作)
2020-08-13 10:29:42,769 INFO [root] [base.py (base_find:18] - [base]: 正在定位：('partial link text', '会员登录')元素，超时时间为：30秒)
2020-08-13 10:29:42,778 INFO [root] [base.py (base_click:38] - [base]: 正在对：('partial link text', '会员登录')元素进行点击操作)
2020-08-13 10:29:43,215 INFO [root] [base.py (base_find:18] - [base]: 正在定位：('css selector', '#input-email')元素，超时时间为：30秒)
2020-08-13 10:29:43,221 INFO [root] [base.py (base_input:46] - [base]: 正在对：('css selector', '#input-email')元素进行清空操作)
2020-08-13 10:29:43,242 INFO [root] [base.py (base_input:49] - [base]: 正在对：('css selector', '#input-email')元素进行输入操作，输入内容：18142651996@163.com)
2020-08-13 10:29:43,294 INFO [root] [base.py (base_find:18] - [base]: 正在定位：('css selector', '#input-password')元素，超时时间为：30秒)
2020-08-13 10:29:43,298 INFO [root] [base.py (base_input:46] - [base]: 正在对：('css selector', '#input-password')元素进行清空操作)
2020-08-13 10:29:43,317 INFO [root] [base.py (base_input:49] - [base]: 正在对：('css selector', '#input-password')元素进行输入操作，输入内容：aaa222)
2020-08-13 10:29:43,350 INFO [root] [base.py (base_find:18] - [base]: 正在定位：('xpath', ".//*[@id='content']/div/form/input")元素，超时时间为：30秒)
2020-08-13 10:29:43,356 INFO [root] [base.py (base_click:38] - [base]: 正在对：('xpath', ".//*[@id='content']/div/form/input")元素进行点击操作)
2020-08-13 10:29:43,694 INFO [root] [base.py (base_get_text:54] - [base]: 正在获取：('css selector', '.fa-exclamation-circle')元素文本信息)
2020-08-13 10:29:43,695 INFO [root] [base.py (base_find:18] - [base]: 正在定位：('css selector', '.fa-exclamation-circle')元素，超时时间为：30秒)
2020-08-13 10:29:43,718 INFO [root] [test_login_data.py (test_login:68] - 登录失败用例验证正确)
2020-08-13 10:29:43,718 INFO [root] [base.py (base_find:18] - [base]: 正在定位：('css selector', '#input-email')元素，超时时间为：30秒)
2020-08-13 10:29:43,723 INFO [root] [base.py (base_input:46] - [base]: 正在对：('css selector', '#input-email')元素进行清空操作)
2020-08-13 10:29:43,757 INFO [root] [base.py (base_input:49] - [base]: 正在对：('css selector', '#input-email')元素进行输入操作，输入内容：18142652020@163.com)
2020-08-13 10:29:43,811 INFO [root] [base.py (base_find:18] - [base]: 正在定位：('css selector', '#input-password')元素，超时时间为：30秒)
2020-08-13 10:29:43,815 INFO [root] [base.py (base_input:46] - [base]: 正在对：('css selector', '#input-password')元素进行清空操作)
2020-08-13 10:29:43,834 INFO [root] [base.py (base_input:49] - [base]: 正在对：('css selector', '#input-password')元素进行输入操作，输入内容：aaa1111)
2020-08-13 10:29:43,888 INFO [root] [base.py (base_find:18] - [base]: 正在定位：('xpath', ".//*[@id='content']/div/form/input")元素，超时时间为：30秒)
2020-08-13 10:29:43,893 INFO [root] [base.py (base_click:38] - [base]: 正在对：('xpath', ".//*[@id='content']/div/form/input")元素进行点击操作)
2020-08-13 10:29:44,246 INFO [root] [base.py (base_get_text:54] - [base]: 正在获取：('css selector', '.fa-exclamation-circle')元素文本信息)
2020-08-13 10:29:44,247 INFO [root] [base.py (base_find:18] - [base]: 正在定位：('css selector', '.fa-exclamation-circle')元素，超时时间为：30秒)
2020-08-13 10:29:44,269 INFO [root] [test_login_data.py (test_login:68] - 登录失败用例验证正确)
2020-08-13 16:31:27,844 INFO [root] [base.py (__init__:17] - [base]: 正在获取初始化driver对象：<selenium.webdriver.phantomjs.webdriver.WebDriver (session="5cc0f890-dd3f-11ea-a254-9d40627b0ca0")>)
2020-08-13 16:31:27,866 INFO [root] [base.py (base_find:22] - [base]: 正在定位：('xpath', ".//*[@id='top-links']/ul/li[2]/a/span[1]")元素，超时时间为：30秒)
2020-08-13 16:31:27,879 INFO [root] [base.py (base_click:42] - [base]: 正在对：('xpath', ".//*[@id='top-links']/ul/li[2]/a/span[1]")元素进行点击操作)
2020-08-13 16:31:27,925 INFO [root] [base.py (base_find:22] - [base]: 正在定位：('partial link text', '会员登录')元素，超时时间为：30秒)
2020-08-13 16:31:27,944 INFO [root] [base.py (base_click:42] - [base]: 正在对：('partial link text', '会员登录')元素进行点击操作)
2020-08-13 16:31:28,413 INFO [root] [base.py (base_find:22] - [base]: 正在定位：('css selector', '#input-email')元素，超时时间为：30秒)
2020-08-13 16:31:28,423 INFO [root] [base.py (base_input:50] - [base]: 正在对：('css selector', '#input-email')元素进行清空操作)
2020-08-13 16:31:28,441 INFO [root] [base.py (base_input:53] - [base]: 正在对：('css selector', '#input-email')元素进行输入操作，输入内容：18142651996@vip.com)
2020-08-13 16:31:28,502 INFO [root] [base.py (base_find:22] - [base]: 正在定位：('css selector', '#input-password')元素，超时时间为：30秒)
2020-08-13 16:31:28,513 INFO [root] [base.py (base_input:50] - [base]: 正在对：('css selector', '#input-password')元素进行清空操作)
2020-08-13 16:31:28,532 INFO [root] [base.py (base_input:53] - [base]: 正在对：('css selector', '#input-password')元素进行输入操作，输入内容：aaa111)
2020-08-13 16:31:28,588 INFO [root] [base.py (base_find:22] - [base]: 正在定位：('xpath', ".//*[@id='content']/div/form/input")元素，超时时间为：30秒)
2020-08-13 16:31:28,598 INFO [root] [base.py (base_click:42] - [base]: 正在对：('xpath', ".//*[@id='content']/div/form/input")元素进行点击操作)
2020-08-13 16:31:29,465 INFO [root] [base.py (base_find:22] - [base]: 正在定位：('xpath', ".//*[@id='top-links']/ul/li[2]/a/span[1]")元素，超时时间为：30秒)
2020-08-13 16:31:29,470 INFO [root] [base.py (base_click:42] - [base]: 正在对：('xpath', ".//*[@id='top-links']/ul/li[2]/a/span[1]")元素进行点击操作)
2020-08-13 16:32:26,863 INFO [root] [base.py (__init__:17] - [base]: 正在获取初始化driver对象：<selenium.webdriver.chrome.webdriver.WebDriver (session="2c1a92713f53ac0f80aac811fdc1008d")>)
2020-08-13 16:32:26,863 INFO [root] [base.py (base_find:22] - [base]: 正在定位：('xpath', ".//*[@id='top-links']/ul/li[2]/a/span[1]")元素，超时时间为：30秒)
2020-08-13 16:32:26,888 INFO [root] [base.py (base_click:42] - [base]: 正在对：('xpath', ".//*[@id='top-links']/ul/li[2]/a/span[1]")元素进行点击操作)
2020-08-13 16:32:26,933 INFO [root] [base.py (base_find:22] - [base]: 正在定位：('partial link text', '会员登录')元素，超时时间为：30秒)
2020-08-13 16:32:26,954 INFO [root] [base.py (base_click:42] - [base]: 正在对：('partial link text', '会员登录')元素进行点击操作)
2020-08-13 16:32:27,399 INFO [root] [base.py (base_find:22] - [base]: 正在定位：('css selector', '#input-email')元素，超时时间为：30秒)
2020-08-13 16:32:27,408 INFO [root] [base.py (base_input:50] - [base]: 正在对：('css selector', '#input-email')元素进行清空操作)
2020-08-13 16:32:27,443 INFO [root] [base.py (base_input:53] - [base]: 正在对：('css selector', '#input-email')元素进行输入操作，输入内容：18142651996@vip.com)
2020-08-13 16:32:27,516 INFO [root] [base.py (base_find:22] - [base]: 正在定位：('css selector', '#input-password')元素，超时时间为：30秒)
2020-08-13 16:32:27,525 INFO [root] [base.py (base_input:50] - [base]: 正在对：('css selector', '#input-password')元素进行清空操作)
2020-08-13 16:32:27,555 INFO [root] [base.py (base_input:53] - [base]: 正在对：('css selector', '#input-password')元素进行输入操作，输入内容：aaa111)
2020-08-13 16:32:27,595 INFO [root] [base.py (base_find:22] - [base]: 正在定位：('xpath', ".//*[@id='content']/div/form/input")元素，超时时间为：30秒)
2020-08-13 16:32:27,606 INFO [root] [base.py (base_click:42] - [base]: 正在对：('xpath', ".//*[@id='content']/div/form/input")元素进行点击操作)
2020-08-13 16:32:28,133 INFO [root] [base.py (base_find:22] - [base]: 正在定位：('xpath', ".//*[@id='top-links']/ul/li[2]/a/span[1]")元素，超时时间为：30秒)
2020-08-13 16:32:28,153 INFO [root] [base.py (base_click:42] - [base]: 正在对：('xpath', ".//*[@id='top-links']/ul/li[2]/a/span[1]")元素进行点击操作)
2020-08-13 16:33:53,597 INFO [root] [base.py (__init__:17] - [base]: 正在获取初始化driver对象：<selenium.webdriver.chrome.webdriver.WebDriver (session="c22b66fdd25c97c71bc1e2166fa3acf1")>)
2020-08-13 16:33:53,600 INFO [root] [base.py (base_find:22] - [base]: 正在定位：('xpath', ".//*[@id='top-links']/ul/li[2]/a/span[1]")元素，超时时间为：30秒)
2020-08-13 16:33:53,625 INFO [root] [base.py (base_click:42] - [base]: 正在对：('xpath', ".//*[@id='top-links']/ul/li[2]/a/span[1]")元素进行点击操作)
2020-08-13 16:33:53,674 INFO [root] [base.py (base_find:22] - [base]: 正在定位：('partial link text', '会员登录')元素，超时时间为：30秒)
2020-08-13 16:33:53,710 INFO [root] [base.py (base_click:42] - [base]: 正在对：('partial link text', '会员登录')元素进行点击操作)
2020-08-13 16:33:54,173 INFO [root] [base.py (base_find:22] - [base]: 正在定位：('css selector', '#input-email')元素，超时时间为：30秒)
2020-08-13 16:33:54,190 INFO [root] [base.py (base_input:50] - [base]: 正在对：('css selector', '#input-email')元素进行清空操作)
2020-08-13 16:33:54,231 INFO [root] [base.py (base_input:53] - [base]: 正在对：('css selector', '#input-email')元素进行输入操作，输入内容：18142651996@vip.com)
2020-08-13 16:33:54,331 INFO [root] [base.py (base_find:22] - [base]: 正在定位：('css selector', '#input-password')元素，超时时间为：30秒)
2020-08-13 16:33:54,340 INFO [root] [base.py (base_input:50] - [base]: 正在对：('css selector', '#input-password')元素进行清空操作)
2020-08-13 16:33:54,370 INFO [root] [base.py (base_input:53] - [base]: 正在对：('css selector', '#input-password')元素进行输入操作，输入内容：aaa111)
2020-08-13 16:33:54,421 INFO [root] [base.py (base_find:22] - [base]: 正在定位：('xpath', ".//*[@id='content']/div/form/input")元素，超时时间为：30秒)
2020-08-13 16:33:54,433 INFO [root] [base.py (base_click:42] - [base]: 正在对：('xpath', ".//*[@id='content']/div/form/input")元素进行点击操作)
2020-08-13 16:33:54,898 INFO [root] [base.py (base_find:22] - [base]: 正在定位：('xpath', ".//*[@id='top-links']/ul/li[2]/a/span[1]")元素，超时时间为：30秒)
2020-08-13 16:33:54,915 INFO [root] [base.py (base_click:42] - [base]: 正在对：('xpath', ".//*[@id='top-links']/ul/li[2]/a/span[1]")元素进行点击操作)
2020-08-13 16:38:30,885 INFO [root] [base.py (__init__:17] - [base]: 正在获取初始化driver对象：<selenium.webdriver.chrome.webdriver.WebDriver (session="e20415359106aa0e039448799750a4c6")>)
2020-08-13 16:38:30,885 INFO [root] [base.py (base_find:22] - [base]: 正在定位：('xpath', ".//*[@id='top-links']/ul/li[2]/a/span[1]")元素，超时时间为：30秒)
2020-08-13 16:38:30,904 INFO [root] [base.py (base_click:42] - [base]: 正在对：('xpath', ".//*[@id='top-links']/ul/li[2]/a/span[1]")元素进行点击操作)
2020-08-13 16:38:30,949 INFO [root] [base.py (base_find:22] - [base]: 正在定位：('partial link text', '会员登录')元素，超时时间为：30秒)
2020-08-13 16:38:30,968 INFO [root] [base.py (base_click:42] - [base]: 正在对：('partial link text', '会员登录')元素进行点击操作)
2020-08-13 16:38:31,524 INFO [root] [base.py (base_find:22] - [base]: 正在定位：('css selector', '#input-email')元素，超时时间为：30秒)
2020-08-13 16:38:31,534 INFO [root] [base.py (base_input:50] - [base]: 正在对：('css selector', '#input-email')元素进行清空操作)
2020-08-13 16:38:31,565 INFO [root] [base.py (base_input:53] - [base]: 正在对：('css selector', '#input-email')元素进行输入操作，输入内容：18142651996@vip.com)
2020-08-13 16:38:31,684 INFO [root] [base.py (base_find:22] - [base]: 正在定位：('css selector', '#input-password')元素，超时时间为：30秒)
2020-08-13 16:38:31,693 INFO [root] [base.py (base_input:50] - [base]: 正在对：('css selector', '#input-password')元素进行清空操作)
2020-08-13 16:38:31,723 INFO [root] [base.py (base_input:53] - [base]: 正在对：('css selector', '#input-password')元素进行输入操作，输入内容：aaa111)
2020-08-13 16:38:31,774 INFO [root] [base.py (base_find:22] - [base]: 正在定位：('xpath', ".//*[@id='content']/div/form/input")元素，超时时间为：30秒)
2020-08-13 16:38:31,786 INFO [root] [base.py (base_click:42] - [base]: 正在对：('xpath', ".//*[@id='content']/div/form/input")元素进行点击操作)
2020-08-13 16:38:32,249 INFO [root] [base.py (base_find:22] - [base]: 正在定位：('xpath', ".//*[@id='top-links']/ul/li[2]/a/span[1]")元素，超时时间为：30秒)
2020-08-13 16:38:32,261 INFO [root] [base.py (base_click:42] - [base]: 正在对：('xpath', ".//*[@id='top-links']/ul/li[2]/a/span[1]")元素进行点击操作)
2020-08-13 16:38:32,796 INFO [root] [base.py (base_opencv_click:95] - [base]: ../data/login_out.png :图片坐标1300,186)
